,intent
Where is the permanent store?,faq
How to reach store?,faq
Where is clothes store?,faq
Address of clothes store,faq
,recommend
Do you accept checks?,faq
How should I finish my purchase?,faq
Are you cash only?,faq
Do you take credit cards?,faq
How to make a payment?,faq
Emergency contact details,faq
Contact admin,faq
Contact details of incharge,faq
"Can't find answers, how do I contact the store?",faq
Contact details of faculty,faq
Email id of Admin or incharge,faq
How do I contact staff?,faq
You send me wrong color,faq
The product is not suit for me,faq
I buy a clothes not correct size,faq
You send me wrong product,faq
i dislike this product,faq
I buy the clothes mistakenly,faq
Do you offer retuen Service,faq
You send me wrong size,faq
are you positive?,chitchat
are you completely sure?,chitchat
are you sure today?,chitchat
are you sure about it?,chitchat
are you fully positive?,chitchat
are you truly positive?,chitchat
are you sure right now?,chitchat
are you sure tonight?,chitchat
are you so sure?,chitchat
you are there,chitchat
you are here?,chitchat
are you here ?,chitchat
are you here,chitchat
you there?,chitchat
are you there,chitchat
are you still here,chitchat
are you still there,chitchat
you still there?,chitchat
anytime,chitchat
my pleasure,chitchat
welcome here,chitchat
welcome,chitchat
you're welcome,chitchat
that's my pleasure,chitchat
i'm glad,chitchat
anything you want,chitchat
sure welcome,chitchat
I want to see you again,chitchat
I will see you soon,chitchat
that'd be great to see you again,chitchat
let's catch up soon,chitchat
I hope to see you again,chitchat
would be nice to see you again,chitchat
I'd be happy to see you again,chitchat
i want to see you again soon,chitchat
let's meet soon,chitchat
no probs,chitchat
don't worry,chitchat
don't worry there's no problem,chitchat
no problem about that,chitchat
sure no problem,chitchat
not a problem at all.,chitchat
"yeah, no probs",chitchat
there's no problem,chitchat
no problem,chitchat
wheey,chitchat
woaah,chitchat
woah,chitchat
wooow,chitchat
whoah,chitchat
woow,chitchat
wow wow wow,chitchat
wow!!,chitchat
amazing,chitchat
wow,chitchat
time for us to go to bed,chitchat
I sometimes feel drowsy in the early afternoon,chitchat
it's time to go to bed,chitchat
time to sleep,chitchat
going to bed now,chitchat
is it time for bed yet,chitchat
gonna go to bed,chitchat
it's bed time,chitchat
I'd like to go to bed,chitchat
you are not real,chitchat
you are real,chitchat
are you real?,chitchat
are you a real person?,chitchat
I think you are real,chitchat
glad you're real,chitchat
are you real,chitchat
I suppose you're real,chitchat
you are not fake,chitchat
you are a real person,chitchat
are you a real human?,chitchat
I don't want to talk,chitchat
I'm not in the mood for chatting,chitchat
Let's stop talking,chitchat
I'm not in a mood to talk,chitchat
bad time for talking,chitchat
I'm not talking to you anymore,chitchat
I don't like talking to you,chitchat
Can u pls stop talking,chitchat
let's not talk,chitchat
let's stop talking for a minute,chitchat
are you artificially intelligent?,chitchat
are you a bot,chitchat
are you just a bot,chitchat
are you an AI?,chitchat
you are chatbot,chitchat
