,intent
Where is the permanent store?,faq/address
How to reach store?,faq/address
Where is clothes store?,faq/address
Address of clothes store,faq/address
,recommend
Do you accept checks?,faq/payments
How should I finish my purchase?,faq/payments
Are you cash only?,faq/payments
Do you take credit cards?,faq/payments
How to make a payment?,faq/payments
Emergency contact details,faq/contact
Contact admin,faq/contact
Contact details of incharge,faq/contact
"Can't find answers, how do I contact the store?",faq/contact
Contact details of faculty,faq/contact
Email id of Admin or incharge,faq/contact
How do I contact staff?,faq/contact
You send me wrong color,faq/return
The product is not suit for me,faq/return
I buy a clothes not correct size,faq/return
You send me wrong product,faq/return
i dislike this product,faq/return
I buy the clothes mistakenly,faq/return
Do you offer retuen Service,faq/return
You send me wrong size,faq/return
are you positive?,chitchat/agent_sure
are you completely sure?,chitchat/agent_sure
are you sure today?,chitchat/agent_sure
are you sure about it?,chitchat/agent_sure
are you fully positive?,chitchat/agent_sure
are you truly positive?,chitchat/agent_sure
are you sure right now?,chitchat/agent_sure
are you sure tonight?,chitchat/agent_sure
are you so sure?,chitchat/agent_sure
you are there,chitchat/agent_there
you are here?,chitchat/agent_there
are you here ?,chitchat/agent_there
are you here,chitchat/agent_there
you there?,chitchat/agent_there
are you there,chitchat/agent_there
are you still here,chitchat/agent_there
are you still there,chitchat/agent_there
you still there?,chitchat/agent_there
anytime,chitchat/appraisal_welcome
my pleasure,chitchat/appraisal_welcome
welcome here,chitchat/appraisal_welcome
welcome,chitchat/appraisal_welcome
you're welcome,chitchat/appraisal_welcome
that's my pleasure,chitchat/appraisal_welcome
i'm glad,chitchat/appraisal_welcome
anything you want,chitchat/appraisal_welcome
sure welcome,chitchat/appraisal_welcome
I want to see you again,chitchat/user_wants_to_see_agent_again
I will see you soon,chitchat/user_wants_to_see_agent_again
that'd be great to see you again,chitchat/user_wants_to_see_agent_again
let's catch up soon,chitchat/user_wants_to_see_agent_again
I hope to see you again,chitchat/user_wants_to_see_agent_again
would be nice to see you again,chitchat/user_wants_to_see_agent_again
I'd be happy to see you again,chitchat/user_wants_to_see_agent_again
i want to see you again soon,chitchat/user_wants_to_see_agent_again
let's meet soon,chitchat/user_wants_to_see_agent_again
no probs,chitchat/appraisal_no_problem
don't worry,chitchat/appraisal_no_problem
don't worry there's no problem,chitchat/appraisal_no_problem
no problem about that,chitchat/appraisal_no_problem
sure no problem,chitchat/appraisal_no_problem
not a problem at all.,chitchat/appraisal_no_problem
